query_index,query_name,rank,database_index,database_name,distance,is_positive,query_y_m,query_x_m,database_y_m,database_x_m
0,@768.000@768.000@synthetic_geotiff@000000.png,1,0,@768.000@768.000@synthetic_geotiff@000000.png,0.5212912559509277,True,468.75,468.75,468.75,468.75
0,@768.000@768.000@synthetic_geotiff@000000.png,2,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.5690717697143555,False,468.75,468.75,468.75,781.25
0,@768.000@768.000@synthetic_geotiff@000000.png,3,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.5844456553459167,False,468.75,468.75,2031.25,2343.75
0,@768.000@768.000@synthetic_geotiff@000000.png,4,157,@768.000@2816.000@synthetic_geotiff@000004.png,0.5866562128067017,False,468.75,468.75,468.75,1718.75
0,@768.000@768.000@synthetic_geotiff@000000.png,5,9,@768.000@5888.000@synthetic_geotiff@000010.png,0.5944394469261169,False,468.75,468.75,468.75,3593.75
1,@768.000@1280.000@synthetic_geotiff@000001.png,1,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.35334405303001404,True,468.75,781.25,468.75,781.25
1,@768.000@1280.000@synthetic_geotiff@000001.png,2,81,@3840.000@7424.000@synthetic_geotiff@000097.png,0.5868128538131714,False,468.75,781.25,2343.75,4531.25
1,@768.000@1280.000@synthetic_geotiff@000001.png,3,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.59871506690979,False,468.75,781.25,2031.25,2343.75
1,@768.000@1280.000@synthetic_geotiff@000001.png,4,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.6174420714378357,False,468.75,781.25,1718.75,2343.75
1,@768.000@1280.000@synthetic_geotiff@000001.png,5,13,@1280.000@768.000@synthetic_geotiff@000014.png,0.6497904062271118,False,468.75,781.25,781.25,468.75
2,@768.000@1792.000@synthetic_geotiff@000002.png,1,2,@768.000@1792.000@synthetic_geotiff@000002.png,0.3420430123806,True,468.75,1093.75,468.75,1093.75
2,@768.000@1792.000@synthetic_geotiff@000002.png,2,17,@1280.000@3328.000@synthetic_geotiff@000019.png,0.5983617901802063,False,468.75,1093.75,781.25,2031.25
2,@768.000@1792.000@synthetic_geotiff@000002.png,3,41,@2304.000@3328.000@synthetic_geotiff@000047.png,0.623187780380249,False,468.75,1093.75,1406.25,2031.25
2,@768.000@1792.000@synthetic_geotiff@000002.png,4,16,@1280.000@2816.000@synthetic_geotiff@000018.png,0.6270552277565002,False,468.75,1093.75,781.25,1718.75
2,@768.000@1792.000@synthetic_geotiff@000002.png,5,54,@2816.000@3328.000@synthetic_geotiff@000061.png,0.6521046757698059,False,468.75,1093.75,1718.75,2031.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,1,3,@768.000@2304.000@synthetic_geotiff@000003.png,0.3086620569229126,True,468.75,1406.25,468.75,1406.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,2,41,@2304.000@3328.000@synthetic_geotiff@000047.png,0.5895658135414124,False,468.75,1406.25,1406.25,2031.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,3,17,@1280.000@3328.000@synthetic_geotiff@000019.png,0.6076247096061707,False,468.75,1406.25,781.25,2031.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,4,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.6201756000518799,False,468.75,1406.25,1718.75,2343.75
3,@768.000@2304.000@synthetic_geotiff@000003.png,5,83,@4352.000@2304.000@synthetic_geotiff@000101.png,0.6371338963508606,False,468.75,1406.25,2656.25,1406.25
4,@768.000@3328.000@synthetic_geotiff@000005.png,1,4,@768.000@3328.000@synthetic_geotiff@000005.png,0.4350080192089081,True,468.75,2031.25,468.75,2031.25
4,@768.000@3328.000@synthetic_geotiff@000005.png,2,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.5191997289657593,False,468.75,2031.25,2031.25,2343.75
4,@768.000@3328.000@synthetic_geotiff@000005.png,3,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.540644645690918,False,468.75,2031.25,1718.75,2343.75
4,@768.000@3328.000@synthetic_geotiff@000005.png,4,13,@1280.000@768.000@synthetic_geotiff@000014.png,0.5826181173324585,False,468.75,2031.25,781.25,468.75
4,@768.000@3328.000@synthetic_geotiff@000005.png,5,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.5906970500946045,False,468.75,2031.25,468.75,781.25
5,@768.000@3840.000@synthetic_geotiff@000006.png,1,5,@768.000@3840.000@synthetic_geotiff@000006.png,0.49305957555770874,True,468.75,2343.75,468.75,2343.75
5,@768.000@3840.000@synthetic_geotiff@000006.png,2,4,@768.000@3328.000@synthetic_geotiff@000005.png,0.5714405179023743,False,468.75,2343.75,468.75,2031.25
5,@768.000@3840.000@synthetic_geotiff@000006.png,3,13,@1280.000@768.000@synthetic_geotiff@000014.png,0.595649778842926,False,468.75,2343.75,781.25,468.75
5,@768.000@3840.000@synthetic_geotiff@000006.png,4,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.5984916090965271,False,468.75,2343.75,468.75,781.25
5,@768.000@3840.000@synthetic_geotiff@000006.png,5,9,@768.000@5888.000@synthetic_geotiff@000010.png,0.6146224737167358,False,468.75,2343.75,468.75,3593.75
6,@768.000@4352.000@synthetic_geotiff@000007.png,1,81,@3840.000@7424.000@synthetic_geotiff@000097.png,0.5692791938781738,False,468.75,2656.25,2343.75,4531.25
6,@768.000@4352.000@synthetic_geotiff@000007.png,2,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.584273099899292,False,468.75,2656.25,1718.75,2343.75
6,@768.000@4352.000@synthetic_geotiff@000007.png,3,80,@3840.000@6912.000@synthetic_geotiff@000096.png,0.6399009227752686,False,468.75,2656.25,2343.75,4218.75
6,@768.000@4352.000@synthetic_geotiff@000007.png,4,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.6596033573150635,False,468.75,2656.25,2031.25,2343.75
