query_index,candidate_order,database_index,database_name,database_y_m,database_x_m,grid_id
0,1,0,@768.000@768.000@synthetic_geotiff@000000.png,468.75,468.75,
0,2,1,@768.000@1280.000@synthetic_geotiff@000001.png,468.75,781.25,
0,3,13,@1280.000@768.000@synthetic_geotiff@000014.png,781.25,468.75,
0,4,14,@1280.000@1280.000@synthetic_geotiff@000015.png,781.25,781.25,
0,5,2,@768.000@1792.000@synthetic_geotiff@000002.png,468.75,1093.75,
0,6,1,@768.000@1280.000@synthetic_geotiff@000001.png,468.75,781.25,
0,7,0,@768.000@768.000@synthetic_geotiff@000000.png,468.75,468.75,
0,8,2,@768.000@1792.000@synthetic_geotiff@000002.png,468.75,1093.75,
0,9,14,@1280.000@1280.000@synthetic_geotiff@000015.png,781.25,781.25,
0,10,13,@1280.000@768.000@synthetic_geotiff@000014.png,781.25,468.75,
0,11,68,@3328.000@3840.000@synthetic_geotiff@000076.png,2031.25,2343.75,
0,12,55,@2816.000@3840.000@synthetic_geotiff@000062.png,1718.75,2343.75,
0,13,67,@3328.000@3328.000@synthetic_geotiff@000075.png,2031.25,2031.25,
0,14,69,@3328.000@4352.000@synthetic_geotiff@000077.png,2031.25,2656.25,
0,15,165,@3840.000@3840.000@synthetic_geotiff@000090.png,2343.75,2343.75,
1,1,1,@768.000@1280.000@synthetic_geotiff@000001.png,468.75,781.25,
1,2,0,@768.000@768.000@synthetic_geotiff@000000.png,468.75,468.75,
1,3,2,@768.000@1792.000@synthetic_geotiff@000002.png,468.75,1093.75,
1,4,14,@1280.000@1280.000@synthetic_geotiff@000015.png,781.25,781.25,
1,5,13,@1280.000@768.000@synthetic_geotiff@000014.png,781.25,468.75,
1,6,81,@3840.000@7424.000@synthetic_geotiff@000097.png,2343.75,4531.25,
1,7,80,@3840.000@6912.000@synthetic_geotiff@000096.png,2343.75,4218.75,
1,8,90,@4352.000@7424.000@synthetic_geotiff@000111.png,2656.25,4531.25,
1,9,72,@3328.000@7424.000@synthetic_geotiff@000083.png,2031.25,4531.25,
1,10,71,@3328.000@6912.000@synthetic_geotiff@000082.png,2031.25,4218.75,
1,11,68,@3328.000@3840.000@synthetic_geotiff@000076.png,2031.25,2343.75,
1,12,55,@2816.000@3840.000@synthetic_geotiff@000062.png,1718.75,2343.75,
1,13,67,@3328.000@3328.000@synthetic_geotiff@000075.png,2031.25,2031.25,
1,14,69,@3328.000@4352.000@synthetic_geotiff@000077.png,2031.25,2656.25,
1,15,165,@3840.000@3840.000@synthetic_geotiff@000090.png,2343.75,2343.75,
2,1,2,@768.000@1792.000@synthetic_geotiff@000002.png,468.75,1093.75,
2,2,1,@768.000@1280.000@synthetic_geotiff@000001.png,468.75,781.25,
2,3,3,@768.000@2304.000@synthetic_geotiff@000003.png,468.75,1406.25,
2,4,158,@1280.000@1792.000@synthetic_geotiff@000016.png,781.25,1093.75,
2,5,14,@1280.000@1280.000@synthetic_geotiff@000015.png,781.25,781.25,
2,6,17,@1280.000@3328.000@synthetic_geotiff@000019.png,781.25,2031.25,
2,7,4,@768.000@3328.000@synthetic_geotiff@000005.png,468.75,2031.25,
2,8,29,@1792.000@3328.000@synthetic_geotiff@000033.png,1093.75,2031.25,
2,9,18,@1280.000@3840.000@synthetic_geotiff@000020.png,781.25,2343.75,
2,10,16,@1280.000@2816.000@synthetic_geotiff@000018.png,781.25,1718.75,
2,11,41,@2304.000@3328.000@synthetic_geotiff@000047.png,1406.25,2031.25,
2,12,29,@1792.000@3328.000@synthetic_geotiff@000033.png,1093.75,2031.25,
2,13,54,@2816.000@3328.000@synthetic_geotiff@000061.png,1718.75,2031.25,
2,14,40,@2304.000@2816.000@synthetic_geotiff@000046.png,1406.25,1718.75,
2,15,42,@2304.000@3840.000@synthetic_geotiff@000048.png,1406.25,2343.75,
3,1,3,@768.000@2304.000@synthetic_geotiff@000003.png,468.75,1406.25,
3,2,2,@768.000@1792.000@synthetic_geotiff@000002.png,468.75,1093.75,
3,3,15,@1280.000@2304.000@synthetic_geotiff@000017.png,781.25,1406.25,
3,4,157,@768.000@2816.000@synthetic_geotiff@000004.png,468.75,1718.75,
3,5,16,@1280.000@2816.000@synthetic_geotiff@000018.png,781.25,1718.75,
3,6,41,@2304.000@3328.000@synthetic_geotiff@000047.png,1406.25,2031.25,
3,7,29,@1792.000@3328.000@synthetic_geotiff@000033.png,1093.75,2031.25,
3,8,54,@2816.000@3328.000@synthetic_geotiff@000061.png,1718.75,2031.25,
3,9,40,@2304.000@2816.000@synthetic_geotiff@000046.png,1406.25,1718.75,
3,10,42,@2304.000@3840.000@synthetic_geotiff@000048.png,1406.25,2343.75,
3,11,17,@1280.000@3328.000@synthetic_geotiff@000019.png,781.25,2031.25,
3,12,4,@768.000@3328.000@synthetic_geotiff@000005.png,468.75,2031.25,
3,13,29,@1792.000@3328.000@synthetic_geotiff@000033.png,1093.75,2031.25,
3,14,18,@1280.000@3840.000@synthetic_geotiff@000020.png,781.25,2343.75,
3,15,16,@1280.000@2816.000@synthetic_geotiff@000018.png,781.25,1718.75,
4,1,4,@768.000@3328.000@synthetic_geotiff@000005.png,468.75,2031.25,
4,2,5,@768.000@3840.000@synthetic_geotiff@000006.png,468.75,2343.75,
4,3,17,@1280.000@3328.000@synthetic_geotiff@000019.png,781.25,2031.25,
4,4,157,@768.000@2816.000@synthetic_geotiff@000004.png,468.75,1718.75,
4,5,18,@1280.000@3840.000@synthetic_geotiff@000020.png,781.25,2343.75,
