query_index,query_name,rank,database_index,database_name,distance,is_positive,query_y_m,query_x_m,database_y_m,database_x_m
0,@768.000@768.000@synthetic_geotiff@000000.png,1,0,@768.000@768.000@synthetic_geotiff@000000.png,0.5215907096862793,True,468.75,468.75,468.75,468.75
0,@768.000@768.000@synthetic_geotiff@000000.png,2,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.5692569017410278,False,468.75,468.75,468.75,781.25
0,@768.000@768.000@synthetic_geotiff@000000.png,3,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.5848473310470581,False,468.75,468.75,2031.25,2343.75
0,@768.000@768.000@synthetic_geotiff@000000.png,4,157,@768.000@2816.000@synthetic_geotiff@000004.png,0.5868539810180664,False,468.75,468.75,468.75,1718.75
0,@768.000@768.000@synthetic_geotiff@000000.png,5,9,@768.000@5888.000@synthetic_geotiff@000010.png,0.594730019569397,False,468.75,468.75,468.75,3593.75
1,@768.000@1280.000@synthetic_geotiff@000001.png,1,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.35364025831222534,True,468.75,781.25,468.75,781.25
1,@768.000@1280.000@synthetic_geotiff@000001.png,2,81,@3840.000@7424.000@synthetic_geotiff@000097.png,0.587024450302124,False,468.75,781.25,2343.75,4531.25
1,@768.000@1280.000@synthetic_geotiff@000001.png,3,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.5990254878997803,False,468.75,781.25,2031.25,2343.75
1,@768.000@1280.000@synthetic_geotiff@000001.png,4,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.6174922585487366,False,468.75,781.25,1718.75,2343.75
1,@768.000@1280.000@synthetic_geotiff@000001.png,5,13,@1280.000@768.000@synthetic_geotiff@000014.png,0.6498681306838989,False,468.75,781.25,781.25,468.75
2,@768.000@1792.000@synthetic_geotiff@000002.png,1,2,@768.000@1792.000@synthetic_geotiff@000002.png,0.3423272371292114,True,468.75,1093.75,468.75,1093.75
2,@768.000@1792.000@synthetic_geotiff@000002.png,2,17,@1280.000@3328.000@synthetic_geotiff@000019.png,0.598446786403656,False,468.75,1093.75,781.25,2031.25
2,@768.000@1792.000@synthetic_geotiff@000002.png,3,41,@2304.000@3328.000@synthetic_geotiff@000047.png,0.6233174204826355,False,468.75,1093.75,1406.25,2031.25
2,@768.000@1792.000@synthetic_geotiff@000002.png,4,16,@1280.000@2816.000@synthetic_geotiff@000018.png,0.6270219087600708,False,468.75,1093.75,781.25,1718.75
2,@768.000@1792.000@synthetic_geotiff@000002.png,5,54,@2816.000@3328.000@synthetic_geotiff@000061.png,0.652147114276886,False,468.75,1093.75,1718.75,2031.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,1,3,@768.000@2304.000@synthetic_geotiff@000003.png,0.30869561433792114,True,468.75,1406.25,468.75,1406.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,2,41,@2304.000@3328.000@synthetic_geotiff@000047.png,0.5897150039672852,False,468.75,1406.25,1406.25,2031.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,3,17,@1280.000@3328.000@synthetic_geotiff@000019.png,0.6078264713287354,False,468.75,1406.25,781.25,2031.25
3,@768.000@2304.000@synthetic_geotiff@000003.png,4,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.6202441453933716,False,468.75,1406.25,1718.75,2343.75
3,@768.000@2304.000@synthetic_geotiff@000003.png,5,83,@4352.000@2304.000@synthetic_geotiff@000101.png,0.6372711062431335,False,468.75,1406.25,2656.25,1406.25
4,@768.000@3328.000@synthetic_geotiff@000005.png,1,4,@768.000@3328.000@synthetic_geotiff@000005.png,0.4348193407058716,True,468.75,2031.25,468.75,2031.25
4,@768.000@3328.000@synthetic_geotiff@000005.png,2,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.5194851160049438,False,468.75,2031.25,2031.25,2343.75
4,@768.000@3328.000@synthetic_geotiff@000005.png,3,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.5407070517539978,False,468.75,2031.25,1718.75,2343.75
4,@768.000@3328.000@synthetic_geotiff@000005.png,4,13,@1280.000@768.000@synthetic_geotiff@000014.png,0.582416832447052,False,468.75,2031.25,781.25,468.75
4,@768.000@3328.000@synthetic_geotiff@000005.png,5,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.5905683636665344,False,468.75,2031.25,468.75,781.25
5,@768.000@3840.000@synthetic_geotiff@000006.png,1,5,@768.000@3840.000@synthetic_geotiff@000006.png,0.493175745010376,True,468.75,2343.75,468.75,2343.75
5,@768.000@3840.000@synthetic_geotiff@000006.png,2,4,@768.000@3328.000@synthetic_geotiff@000005.png,0.5714766979217529,False,468.75,2343.75,468.75,2031.25
5,@768.000@3840.000@synthetic_geotiff@000006.png,3,13,@1280.000@768.000@synthetic_geotiff@000014.png,0.5957190990447998,False,468.75,2343.75,781.25,468.75
5,@768.000@3840.000@synthetic_geotiff@000006.png,4,1,@768.000@1280.000@synthetic_geotiff@000001.png,0.5984349250793457,False,468.75,2343.75,468.75,781.25
5,@768.000@3840.000@synthetic_geotiff@000006.png,5,9,@768.000@5888.000@synthetic_geotiff@000010.png,0.6146262288093567,False,468.75,2343.75,468.75,3593.75
6,@768.000@4352.000@synthetic_geotiff@000007.png,1,81,@3840.000@7424.000@synthetic_geotiff@000097.png,0.5695376396179199,False,468.75,2656.25,2343.75,4531.25
6,@768.000@4352.000@synthetic_geotiff@000007.png,2,55,@2816.000@3840.000@synthetic_geotiff@000062.png,0.5845905542373657,False,468.75,2656.25,1718.75,2343.75
6,@768.000@4352.000@synthetic_geotiff@000007.png,3,80,@3840.000@6912.000@synthetic_geotiff@000096.png,0.6400562524795532,False,468.75,2656.25,2343.75,4218.75
6,@768.000@4352.000@synthetic_geotiff@000007.png,4,68,@3328.000@3840.000@synthetic_geotiff@000076.png,0.660172700881958,False,468.75,2656.25,2031.25,2343.75
6,@768.000@4352.000@synthetic_geotiff@000007.png,5,153,@7424.000@5376.000@synthetic_geotiff@000191.png,0.6739732027053833,False,468.75,2656.25,4531.25,3281.25
7,@768.000@4864.000@synthetic_geotiff@000008.png,1,7,@768.000@4864.000@synthetic_geotiff@000008.png,0.6021181344985962,True,468.75,2968.75,468.75,2968.75
7,@768.000@4864.000@synthetic_geotiff@000008.png,2,73,@3840.000@768.000@synthetic_geotiff@000084.png,0.6100786328315735,False,468.75,2968.75,2343.75,468.75
7,@768.000@4864.000@synthetic_geotiff@000008.png,3,170,@5376.000@2304.000@synthetic_geotiff@000129.png,0.6112098693847656,False,468.75,2968.75,3281.25,1406.25
7,@768.000@4864.000@synthetic_geotiff@000008.png,4,127,@6400.000@1280.000@synthetic_geotiff@000155.png,0.6145236492156982,False,468.75,2968.75,3906.25,781.25
7,@768.000@4864.000@synthetic_geotiff@000008.png,5,63,@3328.000@1280.000@synthetic_geotiff@000071.png,0.6305800080299377,False,468.75,2968.75,2031.25,781.25
8,@768.000@5376.000@synthetic_geotiff@000009.png,1,8,@768.000@5376.000@synthetic_geotiff@000009.png,0.7266556024551392,True,468.75,3281.25,468.75,3281.25
8,@768.000@5376.000@synthetic_geotiff@000009.png,2,53,@2816.000@2816.000@synthetic_geotiff@000060.png,0.743270993232727,False,468.75,3281.25,1718.75,1718.75
8,@768.000@5376.000@synthetic_geotiff@000009.png,3,90,@4352.000@7424.000@synthetic_geotiff@000111.png,0.7481374740600586,False,468.75,3281.25,2656.25,4531.25
8,@768.000@5376.000@synthetic_geotiff@000009.png,4,73,@3840.000@768.000@synthetic_geotiff@000084.png,0.7591045498847961,False,468.75,3281.25,2343.75,468.75
8,@768.000@5376.000@synthetic_geotiff@000009.png,5,43,@2304.000@4352.000@synthetic_geotiff@000049.png,0.761212944984436,False,468.75,3281.25,1406.25,2656.25
