query_index,query_name,rank,database_index,database_name,distance,is_positive,query_y_m,query_x_m,database_y_m,database_x_m
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,1,1,@1000.000@3000.000@grid0@z16@r00@c01.png,0.33669066429138184,False,1000.0,1000.0,1000.0,3000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,2,825,@18000.000@2000.000@grid1@z16@r08@c00.png,0.3610111176967621,False,1000.0,1000.0,18000.0,2000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,3,875,@22000.000@2000.000@grid1@z16@r10@c00.png,0.3759753108024597,False,1000.0,1000.0,22000.0,2000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,4,225,@19000.000@1000.000@grid0@z16@r09@c00.png,0.39302530884742737,False,1000.0,1000.0,19000.0,1000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,5,626,@2000.000@4000.000@grid1@z16@r00@c01.png,0.40549755096435547,False,1000.0,1000.0,2000.0,4000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,1,1,@1000.000@3000.000@grid0@z16@r00@c01.png,0.23982807993888855,True,1000.0,3000.0,1000.0,3000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,2,26,@3000.000@3000.000@grid0@z16@r01@c01.png,0.3626452088356018,False,1000.0,3000.0,3000.0,3000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,3,626,@2000.000@4000.000@grid1@z16@r00@c01.png,0.3973568081855774,True,1000.0,3000.0,2000.0,4000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,4,875,@22000.000@2000.000@grid1@z16@r10@c00.png,0.4042002558708191,False,1000.0,3000.0,22000.0,2000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,5,651,@4000.000@4000.000@grid1@z16@r01@c01.png,0.4089195728302002,False,1000.0,3000.0,4000.0,4000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,1,2,@1000.000@5000.000@grid0@z16@r00@c02.png,0.38081982731819153,True,1000.0,5000.0,1000.0,5000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,2,626,@2000.000@4000.000@grid1@z16@r00@c01.png,0.4745151102542877,True,1000.0,5000.0,2000.0,4000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,3,654,@4000.000@10000.000@grid1@z16@r01@c04.png,0.5254184007644653,False,1000.0,5000.0,4000.0,10000.0
