query_index,candidate_order,database_index,database_name,database_y_m,database_x_m,grid_id
0,1,1,@1000.000@3000.000@grid0@z16@r00@c01.png,1000.0,3000.0,0
0,2,625,@2000.000@2000.000@grid1@z16@r00@c00.png,2000.0,2000.0,1
0,3,626,@2000.000@4000.000@grid1@z16@r00@c01.png,2000.0,4000.0,1
0,4,627,@2000.000@6000.000@grid1@z16@r00@c02.png,2000.0,6000.0,1
0,5,651,@4000.000@4000.000@grid1@z16@r01@c01.png,4000.0,4000.0,1
0,6,825,@18000.000@2000.000@grid1@z16@r08@c00.png,18000.0,2000.0,1
0,7,225,@19000.000@1000.000@grid0@z16@r09@c00.png,19000.0,1000.0,0
0,8,226,@19000.000@3000.000@grid0@z16@r09@c01.png,19000.0,3000.0,0
0,9,200,@17000.000@1000.000@grid0@z16@r08@c00.png,17000.0,1000.0,0
0,10,201,@17000.000@3000.000@grid0@z16@r08@c01.png,17000.0,3000.0,0
0,11,875,@22000.000@2000.000@grid1@z16@r10@c00.png,22000.0,2000.0,1
0,12,275,@23000.000@1000.000@grid0@z16@r11@c00.png,23000.0,1000.0,0
0,13,276,@23000.000@3000.000@grid0@z16@r11@c01.png,23000.0,3000.0,0
0,14,250,@21000.000@1000.000@grid0@z16@r10@c00.png,21000.0,1000.0,0
0,15,251,@21000.000@3000.000@grid0@z16@r10@c01.png,21000.0,3000.0,0
1,1,1,@1000.000@3000.000@grid0@z16@r00@c01.png,1000.0,3000.0,0
1,2,625,@2000.000@2000.000@grid1@z16@r00@c00.png,2000.0,2000.0,1
1,3,626,@2000.000@4000.000@grid1@z16@r00@c01.png,2000.0,4000.0,1
1,4,627,@2000.000@6000.000@grid1@z16@r00@c02.png,2000.0,6000.0,1
1,5,651,@4000.000@4000.000@grid1@z16@r01@c01.png,4000.0,4000.0,1
1,6,26,@3000.000@3000.000@grid0@z16@r01@c01.png,3000.0,3000.0,0
1,7,625,@2000.000@2000.000@grid1@z16@r00@c00.png,2000.0,2000.0,1
1,8,650,@4000.000@2000.000@grid1@z16@r01@c00.png,4000.0,2000.0,1
1,9,651,@4000.000@4000.000@grid1@z16@r01@c01.png,4000.0,4000.0,1
1,10,626,@2000.000@4000.000@grid1@z16@r00@c01.png,2000.0,4000.0,1
1,11,626,@2000.000@4000.000@grid1@z16@r00@c01.png,2000.0,4000.0,1
1,12,27,@3000.000@5000.000@grid0@z16@r01@c02.png,3000.0,5000.0,0
1,13,26,@3000.000@3000.000@grid0@z16@r01@c01.png,3000.0,3000.0,0
1,14,1,@1000.000@3000.000@grid0@z16@r00@c01.png,1000.0,3000.0,0
1,15,2,@1000.000@5000.000@grid0@z16@r00@c02.png,1000.0,5000.0,0
2,1,2,@1000.000@5000.000@grid0@z16@r00@c02.png,1000.0,5000.0,0
2,2,627,@2000.000@6000.000@grid1@z16@r00@c02.png,2000.0,6000.0,1
2,3,626,@2000.000@4000.000@grid1@z16@r00@c01.png,2000.0,4000.0,1
