query_index,query_name,rank,database_index,database_name,distance,is_positive,query_y_m,query_x_m,database_y_m,database_x_m
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,1,1,@1000.000@3000.000@grid0@z16@r00@c01.png,0.3369811475276947,False,1000.0,1000.0,1000.0,3000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,2,825,@18000.000@2000.000@grid1@z16@r08@c00.png,0.36124733090400696,False,1000.0,1000.0,18000.0,2000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,3,875,@22000.000@2000.000@grid1@z16@r10@c00.png,0.3760858476161957,False,1000.0,1000.0,22000.0,2000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,4,225,@19000.000@1000.000@grid0@z16@r09@c00.png,0.39340078830718994,False,1000.0,1000.0,19000.0,1000.0
0,@1000.000@1000.000@synthetic_query@z16@r00@c00.png,5,626,@2000.000@4000.000@grid1@z16@r00@c01.png,0.4057559669017792,False,1000.0,1000.0,2000.0,4000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,1,1,@1000.000@3000.000@grid0@z16@r00@c01.png,0.23991091549396515,True,1000.0,3000.0,1000.0,3000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,2,26,@3000.000@3000.000@grid0@z16@r01@c01.png,0.3626227080821991,False,1000.0,3000.0,3000.0,3000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,3,626,@2000.000@4000.000@grid1@z16@r00@c01.png,0.39723801612854004,True,1000.0,3000.0,2000.0,4000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,4,875,@22000.000@2000.000@grid1@z16@r10@c00.png,0.4044516682624817,False,1000.0,3000.0,22000.0,2000.0
1,@1000.000@3000.000@synthetic_query@z16@r00@c01.png,5,651,@4000.000@4000.000@grid1@z16@r01@c01.png,0.40885061025619507,False,1000.0,3000.0,4000.0,4000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,1,2,@1000.000@5000.000@grid0@z16@r00@c02.png,0.38102027773857117,True,1000.0,5000.0,1000.0,5000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,2,626,@2000.000@4000.000@grid1@z16@r00@c01.png,0.474661260843277,True,1000.0,5000.0,2000.0,4000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,3,654,@4000.000@10000.000@grid1@z16@r01@c04.png,0.5253007411956787,False,1000.0,5000.0,4000.0,10000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,4,54,@5000.000@9000.000@grid0@z16@r02@c04.png,0.5536754727363586,False,1000.0,5000.0,5000.0,9000.0
2,@1000.000@5000.000@synthetic_query@z16@r00@c02.png,5,197,@15000.000@45000.000@grid0@z16@r07@c22.png,0.5809680223464966,False,1000.0,5000.0,15000.0,45000.0
3,@1000.000@7000.000@synthetic_query@z16@r00@c03.png,1,3,@1000.000@7000.000@grid0@z16@r00@c03.png,0.45381253957748413,True,1000.0,7000.0,1000.0,7000.0
3,@1000.000@7000.000@synthetic_query@z16@r00@c03.png,2,628,@2000.000@8000.000@grid1@z16@r00@c03.png,0.5246277451515198,True,1000.0,7000.0,2000.0,8000.0
3,@1000.000@7000.000@synthetic_query@z16@r00@c03.png,3,27,@3000.000@5000.000@grid0@z16@r01@c02.png,0.526985228061676,False,1000.0,7000.0,3000.0,5000.0
3,@1000.000@7000.000@synthetic_query@z16@r00@c03.png,4,30,@3000.000@11000.000@grid0@z16@r01@c05.png,0.5308918356895447,False,1000.0,7000.0,3000.0,11000.0
3,@1000.000@7000.000@synthetic_query@z16@r00@c03.png,5,654,@4000.000@10000.000@grid1@z16@r01@c04.png,0.5336675047874451,False,1000.0,7000.0,4000.0,10000.0
4,@1000.000@9000.000@synthetic_query@z16@r00@c04.png,1,30,@3000.000@11000.000@grid0@z16@r01@c05.png,0.39093852043151855,False,1000.0,9000.0,3000.0,11000.0
4,@1000.000@9000.000@synthetic_query@z16@r00@c04.png,2,6,@1000.000@13000.000@grid0@z16@r00@c06.png,0.42561572790145874,False,1000.0,9000.0,1000.0,13000.0
4,@1000.000@9000.000@synthetic_query@z16@r00@c04.png,3,629,@2000.000@10000.000@grid1@z16@r00@c04.png,0.42592838406562805,True,1000.0,9000.0,2000.0,10000.0
4,@1000.000@9000.000@synthetic_query@z16@r00@c04.png,4,4,@1000.000@9000.000@grid0@z16@r00@c04.png,0.4322103261947632,True,1000.0,9000.0,1000.0,9000.0
4,@1000.000@9000.000@synthetic_query@z16@r00@c04.png,5,630,@2000.000@12000.000@grid1@z16@r00@c05.png,0.4490818381309509,False,1000.0,9000.0,2000.0,12000.0
5,@1000.000@11000.000@synthetic_query@z16@r00@c05.png,1,5,@1000.000@11000.000@grid0@z16@r00@c05.png,0.427898645401001,True,1000.0,11000.0,1000.0,11000.0
5,@1000.000@11000.000@synthetic_query@z16@r00@c05.png,2,6,@1000.000@13000.000@grid0@z16@r00@c06.png,0.430163711309433,False,1000.0,11000.0,1000.0,13000.0
5,@1000.000@11000.000@synthetic_query@z16@r00@c05.png,3,37,@3000.000@25000.000@grid0@z16@r01@c12.png,0.4664478302001953,False,1000.0,11000.0,3000.0,25000.0
5,@1000.000@11000.000@synthetic_query@z16@r00@c05.png,4,3,@1000.000@7000.000@grid0@z16@r00@c03.png,0.4755663573741913,False,1000.0,11000.0,1000.0,7000.0
5,@1000.000@11000.000@synthetic_query@z16@r00@c05.png,5,633,@2000.000@18000.000@grid1@z16@r00@c08.png,0.4785376489162445,False,1000.0,11000.0,2000.0,18000.0
6,@1000.000@13000.000@synthetic_query@z16@r00@c06.png,1,60,@5000.000@21000.000@grid0@z16@r02@c10.png,0.2403111308813095,False,1000.0,13000.0,5000.0,21000.0
6,@1000.000@13000.000@synthetic_query@z16@r00@c06.png,2,6,@1000.000@13000.000@grid0@z16@r00@c06.png,0.24504902958869934,True,1000.0,13000.0,1000.0,13000.0
6,@1000.000@13000.000@synthetic_query@z16@r00@c06.png,3,685,@6000.000@22000.000@grid1@z16@r02@c10.png,0.32087409496307373,False,1000.0,13000.0,6000.0,22000.0
6,@1000.000@13000.000@synthetic_query@z16@r00@c06.png,4,7,@1000.000@15000.000@grid0@z16@r00@c07.png,0.33222341537475586,False,1000.0,13000.0,1000.0,15000.0
6,@1000.000@13000.000@synthetic_query@z16@r00@c06.png,5,9,@1000.000@19000.000@grid0@z16@r00@c09.png,0.34383946657180786,False,1000.0,13000.0,1000.0,19000.0
7,@1000.000@15000.000@synthetic_query@z16@r00@c07.png,1,7,@1000.000@15000.000@grid0@z16@r00@c07.png,0.20639121532440186,True,1000.0,15000.0,1000.0,15000.0
7,@1000.000@15000.000@synthetic_query@z16@r00@c07.png,2,6,@1000.000@13000.000@grid0@z16@r00@c06.png,0.22264105081558228,False,1000.0,15000.0,1000.0,13000.0
7,@1000.000@15000.000@synthetic_query@z16@r00@c07.png,3,631,@2000.000@14000.000@grid1@z16@r00@c06.png,0.27013808488845825,True,1000.0,15000.0,2000.0,14000.0
7,@1000.000@15000.000@synthetic_query@z16@r00@c07.png,4,630,@2000.000@12000.000@grid1@z16@r00@c05.png,0.2723515033721924,False,1000.0,15000.0,2000.0,12000.0
7,@1000.000@15000.000@synthetic_query@z16@r00@c07.png,5,60,@5000.000@21000.000@grid0@z16@r02@c10.png,0.30498358607292175,False,1000.0,15000.0,5000.0,21000.0
8,@1000.000@17000.000@synthetic_query@z16@r00@c08.png,1,658,@4000.000@18000.000@grid1@z16@r01@c08.png,0.2107347995042801,False,1000.0,17000.0,4000.0,18000.0
8,@1000.000@17000.000@synthetic_query@z16@r00@c08.png,2,685,@6000.000@22000.000@grid1@z16@r02@c10.png,0.22185000777244568,False,1000.0,17000.0,6000.0,22000.0
8,@1000.000@17000.000@synthetic_query@z16@r00@c08.png,3,35,@3000.000@21000.000@grid0@z16@r01@c10.png,0.22840169072151184,False,1000.0,17000.0,3000.0,21000.0
8,@1000.000@17000.000@synthetic_query@z16@r00@c08.png,4,635,@2000.000@22000.000@grid1@z16@r00@c10.png,0.23589538037776947,False,1000.0,17000.0,2000.0,22000.0
8,@1000.000@17000.000@synthetic_query@z16@r00@c08.png,5,760,@12000.000@22000.000@grid1@z16@r05@c10.png,0.2366694062948227,False,1000.0,17000.0,12000.0,22000.0
9,@1000.000@19000.000@synthetic_query@z16@r00@c09.png,1,9,@1000.000@19000.000@grid0@z16@r00@c09.png,0.16968095302581787,True,1000.0,19000.0,1000.0,19000.0
9,@1000.000@19000.000@synthetic_query@z16@r00@c09.png,2,62,@5000.000@25000.000@grid0@z16@r02@c12.png,0.1955467164516449,False,1000.0,19000.0,5000.0,25000.0
9,@1000.000@19000.000@synthetic_query@z16@r00@c09.png,3,634,@2000.000@20000.000@grid1@z16@r00@c09.png,0.20728468894958496,True,1000.0,19000.0,2000.0,20000.0
9,@1000.000@19000.000@synthetic_query@z16@r00@c09.png,4,87,@7000.000@25000.000@grid0@z16@r03@c12.png,0.22296065092086792,False,1000.0,19000.0,7000.0,25000.0
9,@1000.000@19000.000@synthetic_query@z16@r00@c09.png,5,685,@6000.000@22000.000@grid1@z16@r02@c10.png,0.22378931939601898,False,1000.0,19000.0,6000.0,22000.0
