query_index,candidate_order,database_index,database_name,database_y_m,database_x_m,grid_id
0,1,60,@1280@2816@grid1@z17,1562.5,3437.5,1
0,2,12,@1024@3072@grid0@z17,1250.0,3750.0,0
0,3,11,@1024@2560@grid0@z17,1250.0,3125.0,0
0,4,18,@1536@2560@grid0@z17,1875.0,3125.0,0
0,5,19,@1536@3072@grid0@z17,1875.0,3750.0,0
0,6,12,@1024@3072@grid0@z17,1250.0,3750.0,0
0,7,54,@768@3328@grid1@z17,937.5,4062.5,1
0,8,53,@768@2816@grid1@z17,937.5,3437.5,1
0,9,61,@1280@3328@grid1@z17,1562.5,4062.5,1
0,10,60,@1280@2816@grid1@z17,1562.5,3437.5,1
0,11,55,@768@3840@grid1@z17,937.5,4687.5,1
0,12,6,@512@3584@grid0@z17,625.0,4375.0,0
0,13,13,@1024@3584@grid0@z17,1250.0,4375.0,0
0,14,12,@1024@3072@grid0@z17,1250.0,3750.0,0
0,15,5,@512@3072@grid0@z17,625.0,3750.0,0
1,1,75,@2304@3328@grid1@z17,2812.5,4062.5,1
1,2,27,@2048@3584@grid0@z17,2500.0,4375.0,0
1,3,26,@2048@3072@grid0@z17,2500.0,3750.0,0
1,4,34,@2560@3584@grid0@z17,3125.0,4375.0,0
1,5,33,@2560@3072@grid0@z17,3125.0,3750.0,0
1,6,60,@1280@2816@grid1@z17,1562.5,3437.5,1
1,7,12,@1024@3072@grid0@z17,1250.0,3750.0,0
1,8,11,@1024@2560@grid0@z17,1250.0,3125.0,0
1,9,18,@1536@2560@grid0@z17,1875.0,3125.0,0
1,10,19,@1536@3072@grid0@z17,1875.0,3750.0,0
1,11,12,@1024@3072@grid0@z17,1250.0,3750.0,0
1,12,54,@768@3328@grid1@z17,937.5,4062.5,1
1,13,53,@768@2816@grid1@z17,937.5,3437.5,1
1,14,61,@1280@3328@grid1@z17,1562.5,4062.5,1
1,15,60,@1280@2816@grid1@z17,1562.5,3437.5,1
2,1,88,@3328@2816@grid1@z17,4062.5,3437.5,1
2,2,40,@3072@3072@grid0@z17,3750.0,3750.0,0
2,3,47,@3584@3072@grid0@z17,4375.0,3750.0,0
2,4,46,@3584@2560@grid0@z17,4375.0,3125.0,0
2,5,39,@3072@2560@grid0@z17,3750.0,3125.0,0
2,6,40,@3072@3072@grid0@z17,3750.0,3750.0,0
2,7,89,@3328@3328@grid1@z17,4062.5,4062.5,1
2,8,88,@3328@2816@grid1@z17,4062.5,3437.5,1
2,9,82,@2816@3328@grid1@z17,3437.5,4062.5,1
2,10,81,@2816@2816@grid1@z17,3437.5,3437.5,1
2,11,39,@3072@2560@grid0@z17,3750.0,3125.0,0
2,12,80,@2816@2304@grid1@z17,3437.5,2812.5,1
2,13,87,@3328@2304@grid1@z17,4062.5,2812.5,1
2,14,88,@3328@2816@grid1@z17,4062.5,3437.5,1
2,15,81,@2816@2816@grid1@z17,3437.5,3437.5,1
