query_index,query_name,rank,database_index,database_name,distance,is_positive,query_y_m,query_x_m,database_y_m,database_x_m
0,@768.000@768.000@synthetic_geotiff@000000.png,1,49,@768@768@grid1@z17,0.33889296650886536,True,937.5,937.5,937.5,937.5
0,@768.000@768.000@synthetic_geotiff@000000.png,2,50,@768@1280@grid1@z17,0.3795841336250305,False,937.5,937.5,937.5,1562.5
0,@768.000@768.000@synthetic_geotiff@000000.png,3,71,@2304@1280@grid1@z17,0.3824771046638489,False,937.5,937.5,2812.5,1562.5
0,@768.000@768.000@synthetic_geotiff@000000.png,4,57,@1280@1280@grid1@z17,0.3842428922653198,False,937.5,937.5,1562.5,1562.5
0,@768.000@768.000@synthetic_geotiff@000000.png,5,65,@1792@1792@grid1@z17,0.38999563455581665,False,937.5,937.5,2187.5,2187.5
1,@768.000@1280.000@synthetic_geotiff@000001.png,1,50,@768@1280@grid1@z17,0.20978158712387085,True,937.5,1562.5,937.5,1562.5
1,@768.000@1280.000@synthetic_geotiff@000001.png,2,57,@1280@1280@grid1@z17,0.28243470191955566,False,937.5,1562.5,1562.5,1562.5
1,@768.000@1280.000@synthetic_geotiff@000001.png,3,16,@1536@1536@grid0@z17,0.29062265157699585,False,937.5,1562.5,1875.0,1875.0
1,@768.000@1280.000@synthetic_geotiff@000001.png,4,15,@1536@1024@grid0@z17,0.2982136011123657,False,937.5,1562.5,1875.0,1250.0
1,@768.000@1280.000@synthetic_geotiff@000001.png,5,71,@2304@1280@grid1@z17,0.3107545077800751,False,937.5,1562.5,2812.5,1562.5
2,@768.000@1792.000@synthetic_geotiff@000002.png,1,51,@768@1792@grid1@z17,0.33131152391433716,True,937.5,2187.5,937.5,2187.5
2,@768.000@1792.000@synthetic_geotiff@000002.png,2,5,@512@3072@grid0@z17,0.3662920594215393,False,937.5,2187.5,625.0,3750.0
2,@768.000@1792.000@synthetic_geotiff@000002.png,3,53,@768@2816@grid1@z17,0.39806604385375977,False,937.5,2187.5,937.5,3437.5
2,@768.000@1792.000@synthetic_geotiff@000002.png,4,2,@512@1536@grid0@z17,0.40008363127708435,True,937.5,2187.5,625.0,1875.0
2,@768.000@1792.000@synthetic_geotiff@000002.png,5,38,@3072@2048@grid0@z17,0.4048975110054016,False,937.5,2187.5,3750.0,2500.0
3,@768.000@2304.000@synthetic_geotiff@000003.png,1,52,@768@2304@grid1@z17,0.19365113973617554,True,937.5,2812.5,937.5,2812.5
3,@768.000@2304.000@synthetic_geotiff@000003.png,2,4,@512@2560@grid0@z17,0.2113856077194214,True,937.5,2812.5,625.0,3125.0
